bird_name,bird_sci_name,bird_order,bird_family,bird_color,bird_habitat,bird_char,bird_desc,bird_distr,bird_eco,bird_img,bird_scale
ABBOTTS BABBLER,MALACOCINCLA ABBOTTI,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
ABBOTTS BOOBY,PAPASULA ABBOTTI,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
ABYSSINIAN GROUND HORNBILL,BUCORVUS ABYSSINICUS,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
AFRICAN CROWNED CRANE,BALEARICA REGULORUM,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
AFRICAN EMERALD CUCKOO,CHRYSOCOCCYX CUPREUS,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
AFRICAN FIREFINCH,LAGONOSTICTA RUBRICATA,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
AFRICAN OYSTER CATCHER,HAEMATOPUS MOQUINI,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
AFRICAN PIED HORNBILL,TOCKUS FASCIATUS,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
AFRICAN PYGMY GOOSE,NETTAPUS AURITUS,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
ALBATROSS,DIOMEDEIDAE,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
ALBERTS TOWHEE,PIPILO ABERTI,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
ALEXANDRINE PARAKEET,PSITTACULA EUPATRIA,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
ALPINE CHOUGH,PYRRHOCORAX GRACULUS,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
ALTAMIRA YELLOWTHROAT,GEOTHLYPIS FLAVOVELATA,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
AMERICAN AVOCET,PSITTACULA EUPATRIA,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
AMERICAN BITTERN,BOTAURUS LENTIGINOSUS,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
AMERICAN COOT,FULICA AMERICANA,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
AMERICAN FLAMINGO,PHOENICOPTERUS RUBER,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
AMERICAN GOLDFINCH,SPINUS TRISTIS,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
